iata,icao,name
,HRA,Heli-Iberica,
,HIF,Heli-Iberica Fotogrametria,
,HIG,Heli-Inter Guyane,
,HLK,Heli-Link,
,HMC,Heliamerica De Mexico,
,HEA,Heliavia-Transporte Aéreo,
,CDY,Heliaviation Limited,
,HIB,Helibravo Aviacao,
,HLC,Helicap,
,COV,Helicentre Coventry,
,HEL,Helicol,
,HCP,Helicopter,
,JKY,Helicopter & Aviation Services,
,MVK,Helicopter Training & Hire,
,HAP,Helicopteros Aero Personal,
,HAA,Helicopteros Agroforestal,
,HNT,Helicopteros Internacionales,
,HEN,Helicópteros Y Vehículos Nacionales Aéreos,
,HHH,Helicsa,
JB,JBA,Helijet,
,HDR,Helikopterdrift,
,SCO,Helikopterservice Euro Air,
,OCE,Heliocean,
ZU,HCY,Helios Airways,
,HLP,Helipistas,
,HPL,Heliportugal,
,HEC,Heliservicio Campeche,
,HSU,Helisul,
,HSI,Heliswiss,
,HLT,Helitafe,
,HIT,Helitalia,
,OFA,Helitaxi Ofavi,
9I,HTA,Helitrans,
,HTS,Helitrans Air Service,
,HLW,Heliworks,
T4,HEJ,Hellas Jet,
,HAF,Hellenic Air Force,
HW,FHE,Hello,
,HLG,Helog,
2L,OAW,Helvetic Airways,
DU,HMS,Hemus Air,
,HAC,Henebury Aviation,
,HED,Heritage Aviation Developments,
,SSH,Heritage Flight,
,MRX,Herman's Markair Express,
EO,ALX,Hewa Bora Airways,
UD,HER,Hex'Air,
5K,HFY,Hi Fly,
,HHS,Hi-Jet Helicopter Services,
,HLB,High-Line Airways,
,HWY,Highland Airways,
,HIS,Hispaniola Airways,
,HGA,Hogan Air,
,NTH,Hokkaido Air System,
HD,ADO,Hokkaido International Airlines,
,ABH,Hokuriki-Koukuu,
H5,HOA,Hola Airlines,
,HIN,Holding International Group,
,HOL,Holiday Airlines,
,HTR,Holstenair Lubeck,
,HMV,Homac Aviation,
,HAS,Honduras Airlines,
HX,CRK,Hong Kong Airlines,
UO,HKE,Hong Kong Express Airways,
,HEX,Honiara Cargo Express,
,HPJ,Hop-A-Jet,
HH,,Hope Air,
QX,QXE,Horizon Air,
,HSM,Horizon Air for Transport and Training,
,KOK,Horizon Air Service,
,HOR,Horizon Air-Taxi,
,HPS,Horizon Plus,
,HUD,Horizons Unlimited,
,HOZ,Horizontes Aéreos,
,HDI,Hoteles Dinamicos,
,HHO,Houston Helicopters,
,GGV,Houston Jet Services,
,OZU,Hozu-Avia,
,HWD,HPM Investments,
,KTR,HT Helikoptertransport,
,AHT,HTA Helicopteros,
,HUB,Hub Airlines,
,HUS,Huessler Air Service,
,GMH,Hughes Aircraft,
,WHR,Hummingbird Helicopter Service,
,HUV,Hunair Hungarian Airlines,
,HUF,Hungarian Air Force,
,HYA,Hyack Air,
,HYC,Hydro Air Flight Operations,
,HYD,Hydro-QuÃ©bec,
II,CSQ,IBC Airways,
IB,IBE,Iberia Airlines,
,IBR,Ibertour Servicios Aéreos,
,IBT,Ibertrans Aérea,
TY,IWD,Iberworld,
FW,IBX,Ibex Airlines,
,IBC,Ibicenca Air,
,AKI,Ibk-Petra,
0C,IBL,IBL Aviation,
,BBL,IBM Euroflight Operations,
,YYY,ICAO,
,RAC,Icar Air,
,FRC,Icare Franche Compte,
,ICA,Icaro,
,ICD,Icaro,
,IUS,Icarus,
,CIC,ICC Canada,
,ICB,Icebird Airline,
,ICJ,Icejet,
5W,AEU,Iceland Express,
FI,ICE,Icelandair,
,ICG,Icelandic Coast Guard,
,IDG,IDG Technology Air,
,IFL,IFL Group,
,RDE,II Lione Alato Arl,
,IJM,IJM International Jet Management,
,IKR,Ikaros DK,
,IKK,IKI International Airlines,
,IKN,IKON FTO,
,CIO,Il Ciocco International Travel Service,
,ILV,Il-Avia,
,IDL,Ildefonso Redriguez,
,IAR,Iliamna Air Taxi,
,ILP,Ilpo Aruba Cargo,
,ILL,Ilyich-Avia,
,IMR,Imaer,
IK,ITX,Imair Airlines,
,BLU,IMP Aviation Services,
,XGG,IMP Group Aviation Services,
,PNX,Imperial Airways,
,IMG,Imperial Cargo Airlines,
,IMT,Imtrec Aviation,
,IDP,Independent Air Freighters,
C3,IPR,Independent Carrier,
,IIL,India International Airways,
,IFC,Indian Air Force,
IC,IAC,Indian Airlines,
,IDR,Indicator,
I9,IBU,Indigo,
6E,IGO,IndiGo Airlines,
,IDA,Indonesia Air Transport,
QZ,AWQ,Indonesia AirAsia,
IO,IAA,Indonesian Airlines,
,IPN,Industri Pesawat Terbang Nusantara,
,ITN,Industrias Titan,
1F,,INFINI Travel Information,
,FFI,Infinit Air,
,INS,Inflite The Jet Centre,
,IVA,Innotech Aviation,
,INC,Insel Air International,
,ICC,Instituto Cartografico de Cataluna,
,INT,Intair,
,INL,Intal Avia,
,FFL,Intavia Limited,
,XRA,Intensive Air,
,ITW,Inter Air,
,INX,Inter Express,
H4,IIN,Inter Islands Airlines,
,CAR,Inter RCA,
,NTT,Inter Tropic Airlines,
,ITA,Inter-Air,
,ICN,Inter-Canadian,
,UGL,Inter-Island Air,
,IMA,Inter-Mountain Airways,
,ITS,Inter-State Aviation,
D6,ILN,Interair South Africa,
,NTE,Interaire,
ZA,SUW,Interavia Airlines,
,IVT,Interaviatrans,
RS,ICT,Intercontinental de Aviación,
,ICP,Intercopters,
,IFT,Interflight,
,IJT,Interflight Learjet,
,RFL,Interfly,
,IFF,Interfreight Forwarding,
,IGN,Interguide Air,
,ISN,Interisland Airlines,
,IWY,Interisland Airways Limited,
,MTF,Interjet,
,IHE,Interjet Helicopters,
ID,ITK,Interlink Airlines,
,IAK,International Air Cargo,
,ITC,International Air Carrier Association,
,EXX,International Air,
,IAS,International Air Service,
,IAX,International Air Services,
6I,IBZ,International Business Air,
,IBY,International Business Aircraft,
,ICS,International Charter Services,
,ICX,International Charter Xpress,
,RED,International Committee of the Red Cross,
,IFX,International Flight Training Academy,
,IJA,International Jet Aviation Services,
,HSP,International Jet Charter,
,THN,International Security Assistance Force,
,RSQ,International SOS WIndhoek,
,ISF,International Stabilisation Assistance Force,
,ITH,International Trans-Air,
,IPT,Interport,
,ISK,Intersky,
,IKY,Intersky Bulgary,
I4,FWA,Interstate Airlines,
,ITU,Intervuelos,
,INV,Inversija,
,IND,Iona National Airways,
,IOA,Iowa Airways,
,IPA,IPEC Aviation,
,IPM,IPM Europe,
IR,IRA,Iran Air,
EP,IRC,Iran Aseman Airlines,
,IRB,Iranair Tours,
,IRG,Iranian Air Transport,
IA,IAW,Iraqi Airways,
,BIS,Irbis Air,
,IRL,Irish Air Corps,
,RDK,Irish Air Transport,
,XMR,Irish Aviation Authority,
,LVB,IRS Airlines,
IH,MZA,Irtysh Air,
,XIA,Irving Oil,
,KCE,Irving Oil Transport,
,ISD,ISD Avia,
,ISI,Island Air,
,ILF,Island Air Charters,
,XYZ,Island Air Express,
,ISA,Island Airlines,
,SOY,Island Aviation,
,IOM,Island Aviation and Travel,
,DQA,Island Aviation Services,
2S,SDY,Island Express,
,MTP,Island Helicopters,
,ILC,Island Link,
,IAJ,Islandair Jersey,
CN,,Islands Nationair,
IF,ISW,Islas Airways,
,IGS,Isle Grande Flying School,
WC,ISV,Islena De Inversiones,
,IOS,Isles of Scilly Skybus,
,IAI,Israel Aircraft Industries,
,IAF,Israeli Air Force,
6H,ISR,Israir,
,IST,Istanbul Airlines,
1U,,ITA Software,
FS,ACL,Itali Airlines,
,IFS,Italy First,
GI,IKA,Itek Air,
,IVS,Ivoire Aero Services,
,IVW,Ivoire Airways,
,IJE,Ivoire Jet Express,
,FDF,IVV Femida,
,OIC,Iwamoto Crane,
,IXR,Ixair,
H9,IZM,Izair,
,IZA,Izhavia,
,JCB,J C Bamford,
,RFX,J P Hunt Air Carriers,
XM,,J-Air,
,JCK,Jackson Air Services,
,JAE,Jade Cargo International,
JC,JEX,JAL Express,
JO,JAZ,JALways,
,JAW,Jamahiriya Airways,
,JMB,Jambo Africa Airlines,
,JAK,Jana-Arka,
,JAX,Janair,
,JAC,Japan Air Commuter,
,JSV,Japan Aircraft Service,
JL,JAL,Japan Airlines,
EG,JAA,Japan Asia Airways,
NU,JTA,Japan Transocean Air,
JU,JAT,Jat Airways,
VJ,JTY,Jatayu Airlines,
J9,JZR,Jazeera Airways,
,JDA,JDAviation,
,JDP,JDP Lux,
7C,JJA,Jeju Air,
,JNY,Jenney Beechcraft,
,XLD,Jeppesen Data Plan,
,JPN,Jeppesen UK,
,JEA,Jet Air,
,JSI,Jet Air Group,
9W,JAI,Jet Airways,
QJ,,Jet Airways,
,JTX,Jet Aspen Air Lines,
,PJS,Jet Aviation,
,BZF,Jet Aviation Business Jets,
,JCF,Jet Center Flight Training,
,JCT,Jet Charter,
,DWW,Jet Courier Service,
,JED,Jet East International,
,JEI,Jet Executive International Charter,
,RZA,Jet Fighter Flights,
,CFT,Jet Freighters,
,JGD,Jet G&D Aviation,
,MJL,Jet Line International,
,JEK,Jet Link,
,HTL,Jet Link Aviation,
,JNR,Jet Norte,
,JRN,Jet Rent,
,JDI,Jet Service,
,JSM,Jet Stream,
,JTC,Jet Trans Aviation,
,JTT,Jet-2000,
,OPS,Jet-Ops,
LS,EXS,Jet2.com,
,JFU,Jet4You,
,OSW,JetAfrica Swaziland,
JF,JAF,Jetairfly,
,JTL,Jetall Holdings,
,JAG,Jetalliance,
B6,JBU,JetBlue Airways,
0J,JCS,Jetclub,
,QNZ,Jetconnect,
,UEJ,Jetcorp,
,JCC,Jetcraft Aviation,
,JXA,Jetex Aviation,
,JEF,Jetflite,
,JFL,Jetfly Airlines,
,JIC,Jetgo International,
,JLX,Jetlink Express,
,JLH,Jetlink Holland,
,JMG,JetMagic,
,JNV,Jetnova de Aviación Ejecutiva,
,JPO,Jetpro,
,MDJ,Jetran Air,
,JRI,Jetrider International,
,JEJ,Jets Ejecutivos,
,JEP,Jets Personales,
,JSE,Jets Y Servicios Ejecutivos,
JQ,JST,Jetstar Airways,
3K,JSA,Jetstar Asia Airways,
,JSH,Jetstream Air,
,JXT,Jetstream Executive Travel,
,JPQ,Jett Paqueteria,
JX,JEC,Jett8 Airlines Cargo,
,JTG,Jettime,
,JTN,Jettrain,
,JWY,Jetways of Iowa,
GX,JXX,JetX Airlines,
,JHM,JHM Cargo Expreso,
,JIB,Jibair,
,JSW,Jigsaw Project,
,HKN,Jim Hankins Air Service,
,RAS,Jim Ratliff Air Service,
,TQM,JM Family Aviation,
,JMC,JMC Airlines,
,JDG,Joanas Avialinijos,
,JBR,Job Air,
,JHN,Johnson Air,
,JON,Johnsons Air,
,JMJ,Johnston Airways,
,JMM,Joint Military Commission,
,JMT,Jomartaxi Aereo,
,ODI,Jonsson Air Taxi,
R5,JAV,Jordan Aviation,
,JCI,Jordan International Air Cargo,
,JVK,Jorvik,
,JSJ,JS Air,
,JES,JS Aviation,
1M,,JSC Transport Automated Information Systems,
,JUR,Ju-Air,
,JFS,Juanda Flying School,
,JUC,Juba Cargo Services & Aviation,
,JUB,Jubba Airways,
,DKE,Jubilee Airways,
,DKH,Juneyao Airlines,
,MEY,Justair Scandinavia,
,DOJ,Justice Prisoner and Alien Transportation System,
,KDC,K D Air,
,KSA,K S Avia,
,KMI,K-Mile Air,
N2,QNK,Kabo Air,
,KMC,Kahama Mining,
,KAI,Kaiser Air,
K4,CKS,Kalitta Air,
K9,KFS,Kalitta Charters,
,KES,Kallat El Saker Air,
RQ,KMF,Kam Air,
E2,KMP,Kampuchea Airlines,
,KIZ,Kanaf-Arkia Airlines,
,KHE,Kanfey Ha'emek Aviation,
,KSU,Kansas State University,
V2,AKT,Karat,
,KRB,Karibu Airways,
,KAJ,Karthago Airlines,
,KAE,Kartika Airlines,
,KTV,Kata Transportation,
,KTK,Katekavia,
,KAT,Kato Airline,
KV,MVD,Kavminvodyavia,
,XKA,Kavouras,
,KRN,Kaz Agros Avia,
,KAW,Kaz Air West,
,KAO,Kazan Aviation Production Association,
,KPH,Kazan Helicopters,
,KKA,Kazavia,
,KZS,Kazaviaspas,
KD,KNI,KD Avia,
,JFK,Keenair Charter -,
,KLX,Kelix Air,
,FKL,Kelner Airways,
,KFA,Kelowna Flightcraft Air Charter,
M5,KEN,Kenmore Air,
,KBA,Kenn Borek Air,
,KAH,Kent Aviation,
KQ,KQA,Kenya Airways,
,KVS,Kevis,
,KEY,Key Airlines,
,LYM,Key Lime Air,
,FTP,Keystone Aerial Surveys,
BZ,KEE,Keystone Air Service,
,KZW,Khalifa Airways,
,WKH,Kharkov Aircraft Manufacturing,
,KHR,Khazar,
,KHP,Khoezestan Photros Air Lines,
,KRV,Khoriv-Avia,
,KHO,Khors Aircompany,
,KHY,Khyber Afghan Airlines,
KY,KYV,Kibris Türk Hava,
,UAK,Kiev Aviation Plant,
,KNG,King Aviation,
,BEZ,Kingfisher Air Services,
IT,KFR,Kingfisher Airlines,
IT,KFR,Kingfisher Airlines,
,KAS,Kingston Air Services,
,KIN,Kinloss Flying Training Unit,
,KIP,Kinnarps,
,KNS,Kinshasa Airways,
,KTA,Kirov Air Enterprise,
Y9,IRK,Kish Air,
,KHA,Kitty Hawk Aircargo,
,KHC,Kitty Hawk Airways,
KP,KIA,Kiwi International Air Lines,
KL,KLM,KLM,
WA,KLC,KLM Cityhopper,
,KLH,KLM Helicopter,
,KNA,Knight Air,
,KNX,Knighthawk Air Express,
,KHX,Knighthawk Express,
,KGT,Knights Airlines,
,KOA,Koanda Avacion,
,OYE,Koda International,
7K,KGL,Kogalymavia Air,
,KOM,Kom Activity,
,KMA,Komiaviatrans State Air Enterprise,
8J,KMV,Komiinteravia,
,KNM,Komsomolsk-on-Amur Air Enterprise,
,KOB,Koob-Corp - 96 KFT,
KE,KAL,Korean Air,
,KMG,Kosmas Air,
,KSM,Kosmos,
,KOS,Kosova Airlines,
,WOK,Kovar Air,
,KFC,Kremenchuk Flight College,
,KRG,Krimaviamontag,
,KRO,Kroonk Air Agency,
K9,KRI,Krylo Airlines,
,KYM,Krym,
,OPC,Krystel Air Charter,
GW,KIL,Kuban Airlines,
VD,KPA,Kunpeng Airlines,
,KZA,Kurzemes Avio,
,KBV,Kustbevakningen,
KU,KAC,Kuwait Airways,
GO,KZU,Kuzu Airlines Cargo,
,QVR,Kvadro Aero,
,KWN,Kwena Air,
N5,KGZ,Kyrgyz Airlines,
,KTC,Kyrgyz Trans Avia,
QH,LYN,Kyrgyzstan,
R8,KGA,Kyrgyzstan Airlines,
,DAM,Kyrgyzstan Department of Aviation,
,KGB,Kyrgz General Aviation,
,LAH,L A Helicopter,
,LJY,L J Aviation,
,LRB,L R Airlines,
,FNT,L-3 Communications Flight Internation Aviation,
JF,LAB,L.A.B. Flying Service,
,LEX,L'Express Airlines,
,PHO,L&L Flygbildteknik,
,ASK,La Ronge Aviation Services,
,LVT,La Valenciana Taxi Aéreo,
,SKQ,Labcorp,
,LAL,Labrador Airways,
LR,LRC,LACSA,
,LDE,LADE - Líneas Aéreas Del Estado,
N6,JEV,Lagun Air,
KG,BNX,LAI - Línea Aérea IAACA,
,HCA,Lake Havasu Air Service,
,LKL,Lakeland Aviation,
,LKR,Laker Airways,
,LBH,Laker Airways Bahamas,
,LMR,Lamra,
LA,LAN,LAN Airlines,
,LCO,LAN Cargo,
,LNC,LAN Dominica,
LU,LXP,LAN Express,
LP,LPE,LAN Peru,
,TCR,Lanaes Aereas Trans Costa Rica,
,ISL,Landsflug,
,PAP,Langtry Flying Group,
IK,LKN,Lankair,
,LSA,LANSA,
,LZA,Lanza Air,
,LZT,Lanzarote Aerocargo,
,LLL,Lao Air,
QV,LAO,Lao Airlines,
,LKA,Lao Capricorn Air,
L7,LPN,Laoag International Airlines,
,APT,LAP Colombia,
,LRD,Laredo Air,
,OTN,LASTP,
,LAF,Latvian Air Force,
NG,LDA,Lauda Air,
,LDI,Lauda Air Italy,
,LEP,Laughlin Express,
,LSU,Laus,
,LAR,Lawrence Aviation,
,LAY,Layang-Layang Aerospace,
,LCB,LC Busre,
,LPL,Lease-a-Plane International,
LQ,LAQ,Lebanese Air Transport,
,LAT,Lebanese Air Transport Charter,
,LAD,Lebanon Airport Development,
,LEB,Lebap,
,LCA,Leconte Airlines,
,LEE,Leeming Flying Training Unit,
LI,LIA,Leeward Islands Air Transport,
,LGD,Legend Airlines,
,LWD,Leisure Air,
,LEN,Lentini Aviation,
,LOR,Leo-Air,
,LEL,Leonsa De Aviación,
,LYW,Libyan Airlines,
,LCR,Libyan Arab Air Cargo,
LN,LAA,Libyan Arab Airlines,
,LIQ,Lid Air,
,LCG,Lignes Aeriennes Congolaises,
,LKD,Lignes Aeriennes Du Tchad,
,LME,Lignes Mauritaniennes Air Express,
,GCB,Lignes Nationales Aeriennes - Linacongo,
,GDQ,Lincoln Air National Guard,
,LRT,Lincoln Airlines,
,LSY,Lindsay Aviation,
,NOT,Línea Aérea Costa Norte,
,NEG,Línea Aérea de Fumig Aguas Negras,
QL,LER,Línea Aérea de Servicio Ejecutivo Regional,
,LMC,Línea Aérea Mexicana de Carga,
L7,LNP,Línea Aérea SAPSA,
,LSE,Línea De Aeroservicios,
LD,TUY,Línea Turística Aereotuy,
,ALR,Líneas Aéreas Alaire S.L.,
,LCN,Líneas Aéreas Canedo LAC,
,LCM,Líneas Aéreas Comerciales,
,UMA,Líneas Aéreas del Humaya,
,EDD,Líneas Aéreas Ejectuivas De Durango,
,EDR,Líneas Aéreas Eldorado,
,FED,Líneas Aéreas Federales,
,LMN,Líneas Aéreas Monarca,
,LIJ,Líneas Aéreas San Jose,
,LAU,Líneas Aéreas Suramericanas,
,LEC,Linex,
TM,LAM,Linhas Aéreas de Moçambique,
,SMS,Linhas Aéreas Santomenses,
,LAW,Link Airways of Australia,
,LOP,Linton-on-Ouse Flying Training Unit,
,WGT,Lion Air Services,
JT,LNI,Lion Mentari Airlines,
,LEU,Lions-Air,
,LYF,Lithuanian Air Force,
,LRA,Little Red Air Service,
LM,LVG,Livingston,
LB,LLB,Lloyd Aéreo Boliviano,
,LNA,Lnair Air Services,
,LAC,Lockeed Aircraft,
,XLG,Lockheed Air Terminal,
,XDD,Lockheed DUATS,
,CBD,Lockheed Martin Aeronautics,
,LNG,Lockheed Martin Aeronautics,
LC,LOG,Logan Air,
,CLV,Lom Praha Flying School,
,LMS,Lomas Helicopters,
,LCY,London City Airport Jet Centre,
,LNX,London Executive Aviation,
,LOV,London Flight Centre,
,LHC,London Helicopter Centres,
,LSS,Lone Star Airlines,
,ORA,Long Island Airlines,
,LGT,Longtail Aviation,
,LRR,Lorraine Aviation,
,LSC,Los Cedros Aviación,
,LOS,Lossiemouth Flying Training Unit,
LO,LOT,LOT Polish Airlines,
,TAS,Lotus Air,
XO,LTE,LTE International Airways,
L3,LTO,LTU Austria,
LT,LTU,LTU International,
,JFC,LTV Jet Fleet,
,LTW,Luchtvaartmaatschappij Twente,
,LKE,Lucky Air,
,LUT,Luft Carago,
,LVD,Luftfahrt-Vermietungs-Dienst,
HE,LGW,Luftfahrtgesellschaft Walter,
LH,DLH,Lufthansa,
LH,GEC,Lufthansa Cargo,
CL,CLH,Lufthansa CityLine,
L1,,Lufthansa Systems,
,LHT,Lufthansa Technik,
DV,LTF,Lufttaxi Fluggesellschaft,
L5,LTR,Lufttransport,
,LHS,Luhansk,
,LUK,LUKoil-Avia,
,UNY,Lund University School of Aviation,
LG,LGL,Luxair,
,LXA,Luxaviation,
,LUV,Luxembourg Air Rescue,
,LFE,Luxflight Executive,
,LXO,Luxor Air,
,LUZ,Luzair,
5V,UKW,Lviv Airlines,
,LYD,Lydd Air,
,LCH,Lynch Flying Service,
L2,LYC,Lynden Air Cargo,
,LXF,Lynx Air International,
,LYX,Lynx Aviation,
L4,SSX,Lynx Aviation,
,JNH,M & N Aviation,
,MAQ,Mac Aviation,
,MCN,Mac Dan Aviation,
,MCF,MAC Fotografica,
CC,MCK,Macair Airlines,
,MCS,Macedonian Airlines,
,MTD,MacKnight Airlines,
,MDH,Madina Air,
,MJB,Magic Blue Airlines,
,MGR,Magna Air,
,MLH,Mahalo Air,
W5,IRM,Mahan Air,
M2,MZS,Mahfooz Aviation,
,MAT,Maine Aviation,
,MAJ,Majestic Airlines,
,AKM,Mak Air,
,MLG,Malagasy Airlines,
,MLX,Malawi Express,
,MKK,Malaya Aviatsia Dona,
MH,MAS,Malaysia Airlines,
MA,MAH,Malév Hungarian Airlines,
,MAE,Mali Air,
,VXP,Mali Air Express,
,MTZ,Mali Airways,
,MLC,Malila Airlift,
,MLS,Mall Airways,
TF,SCW,Malmö Aviation,
,LOD,Malmoe Air Taxi,
R5,MAC,Malta Air Charter,
,MWS,Malta Wings,
,MLB,Manaf International Airways,
,MRG,MANAG'AIR,
RI,MDL,Mandala Airlines,
AE,MDA,Mandarin Airlines,
JE,MNO,Mango,
,MHN,Manhattan Air,
,MTO,Manitoulin Air Services,
,MNR,Mann Air,
,AAD,Mann Air,
,MAN,Mannion Air Charter,
,MTS,Mantrust Asahi Airways,
,MNX,Manx Airlines,
AQ,MPJ,MAP-Management and Planung,
,MAD,Maple Air Services,
,MAR,March Helicopters,
,MCP,Marcopolo Airways,
,MGI,Marghi Air,
,MRH,Marham Flying Training Unit,
,MRK,Markair,
,MKO,Markoss Aviation,
6V,MRW,Mars RK,
,MCE,Marshall Aerospace,
M7,MSL,Marsland Aviation,
,XMA,Martin Aviation Services,
,MBE,Martin-Baker,
MP,MPH,Martinair,
,MRA,Martinaire,
,MFA,Martyn Fiddler Associates,
,MVN,Marvin Limited,
,TRP,Maryland State Police,
,TFG,MAS Airways,
M7,MAA,MasAir,
,MTH,Massachusetts Institute of Technology,
,MSY,Massey University School of Aviation,
,MSW,Master Airways,
,MPL,Master Planner,
,LMJ,Masterjet,
Q4,,Mastertop Linhas Aéreas,
MH,MWG,MASwings,
IN,MAK,MAT Macedonian Airlines,
,MIA,Mauria,
,MNV,Mauritanienne Aerienne Et Navale,
,MRF,Mauritanienne Air Fret,
,MWY,Mauritanienne Airways,
,MDE,Mauritanienne De Transport Aerien,
,MVR,Maverick Airways,
H5,MVL,Mavial Magadan Airlines,
,MAI,Max Avia,
,MSF,Max Sea Food,
,MAX,Max-Aviation,
8M,MXL,Maxair,
,MXU,Maximus Air Cargo,
,MXS,Maxsus-Avia,
,MXP,May Air Xpress,
MW,MYD,Maya Island Air,
,MYI,Mayair,
,MBS,Mbach Air,
,MCH,McAlpine Helicopters,
,MCC,MCC Aviation,
,MKL,McCall Aviation,
,DAC,McDonnell Douglas,
,MDS,McNeely Charter Services,
,MEK,Med-Trans of Florida,
,MDM,Medavia,
,MRZ,Medical Air Rescue Services,
,MCL,Medical Aviation Services,
,MDF,Mediterranean Air Freight,
,MDY,Mediterranean Airways,
,MEJ,Medjet International,
,MGK,Mega,
,MEL,Mega Linhas Aéreas,
IM,MNJ,Menajet,
,MXX,Merchant Express Aviation,
,MEC,Mercury Aircourier Service,
,POV,Meridian,
,MRD,Meridian Air Cargo,
,MHL,Meridian Airlines,
,DSL,Meridian Aviation,
,MEM,Meridian Limited,
IG,ISS,Meridiana,
,MEI,Merlin Airways,
MZ,MNA,Merpati Nusantara Airlines,
YV,ASH,Mesa Airlines,
XJ,MES,Mesaba Airlines,
,MSQ,Meta Linhas Aéreas,
,MET,Meteorological Research Flight,
,MER,Methow Aviation,
,MVI,Metro Business Aviation,
,MEX,Metro Express,
,MTR,Metroflight,
,MTJ,Metrojet,
,PIX,Metropix UK,
,MPS,Metroplis,
,MXB,Mex Blue,
,MJT,Mex-Jet,
MX,MXA,Mexicana de Aviación,
,MXT,México Transportes Aéreos,
,MGA,MG Aviación,
,JLA,MIA Airlines,
,HUR,Miami Air Charter,
GL,BSK,Miami Air International,
,OWL,Miami Valley Aviation,
,MPT,Miapet-Avia,
OM,MGL,MIAT Mongolian Airlines,
,BIB,Michelin Air Services,
,WIZ,Micromatter Technology Solutions,
,NYL,Mid Airlines,
,MPA,Mid-Pacific Airlines,
,MJR,Midamerica Jet,
ME,MEA,Middle East Airlines,
,MID,Midland Airport Services,
,MFR,Midline Air Freight,
,MIS,Midstate Airlines,
,FLA,Midway Express,
,FAX,Midwest Air Freighters,
YX,MEP,Midwest Airlines,
MY,MWA,Midwest Airlines Egypt,
,NIT,Midwest Aviation,
,MWT,Midwest Aviation Division,
,HTE,Midwest Helicopters De Mexico,
,MAB,Millardair,
,RJM,Millen,
,MLK,Millennium Air,
,MFS,Miller Flying Services,
,OXO,Million Air,
,MIM,Mimino,
,NAB,Mina Airline,
,OMR,Minair,
,EBE,Minebea Technologies,
,MAZ,Mines Air Services Zambia,
,MNL,Miniliner,
,MNS,Ministic Air,
,LIR,Minsk Aircraft Overhaul Plant,
,MIC,Mint Airways,
,MIR,Miramichi Air Service,
,MIF,Miras,
,MOS,Misr Overseas Airways,
,MAF,Mission Aviation Fellowship,
,MSN,Missionair,
,MRN,Missions Gouvernemtales Francaises,
,BDG,Mississippi State University,
,MVA,Mississippi Valley Airways,
,MSA,Mistral Air,
,MNC,MIT Airlines,
,MKA,MK Airline,
MB,MNB,MNG Airlines,
,MBO,Mobil Oil,
,MXE,Mocambique Expresso,
,MFZ,Mofaz Air,
,BUG,Mokulele Airlines,
,MLE,Moldaeroservice,
2M,MDV,Moldavian Airlines,
,MVG,Moldova,
,RRV,Mombasa Air Safari,
,MNH,Monarch Airlines,
ZB,MON,Monarch Airlines,
,MFC,Moncton Flying Club,
,MDB,Monde Air Charters,
,MTI,Monerrey Air Taxi,
,MKY,Monky Aerotaxis,
YM,MGX,Montenegro Airlines,
,MNT,Montserrat Airways,
,MNY,Mooney Aircraft,
,MAL,Morningstar Air Express,
,MSS,Morris Air Service,
,MRO,Morrison Flying Service,
3R,GAI,Moskovia Airlines,
,MPI,Mosphil Aero,
M9,MSI,Motor Sich,
NM,NZM,Mount Cook Airlines,
,MTN,Mountain Air Cargo,
N4,MTC,Mountain Air,
,PKP,Mountain Air Express,
,BRR,Mountain Air Service,
,MBI,Mountain Bird,
,MHA,Mountain High Aviation,
,MPC,Mountain Pacific Air,
,MTV,Mountain Valley Air Service,
,MOW,Mowhawk Airlines,
,EBF,MSR Flug-Charter,
,MCV,MTC Aviación,
,MDN,Mudan Airlines,
,CMJ,Mudanjiang General Aviation,
,MTX,Multi Taxi,
,WBR,Multi-Aero,
,MFT,Multiflight,
,MNZ,Murmansk Aircompany,
,MUA,Murray Air,
,MMR,Musrata Air Transport,
,MAW,Mustique Airways,
,MYW,My Way Airlines,
UB,UBA,Myanma Airways,
8M,MMM,Myanmar Airways International,
,MYA,Myflug,
8I,,Myway Airlines,
,ANL,Nacoia Lda,
,NHZ,Nada Air Service,
,NAH,Nahanni Air Services,
,NKL,Nakheel Aviation,
,MRE,Namibia Commercial Aviation,
,NDF,Namibian Defence Force,
,CNJ,Nanjing Airlines,
DV,ACK,Nantucket Airlines,
,NYA,Nanyah Aviation,
,NAP,Napier Air Service,
,NCM,Nas Air,
P9,,Nas Air,
UE,NAS,Nasair,
,NJC,Nashville Jet Charters,
,NCO,Natalco Air Lines,
,NSR,National Air Charter,
,NTK,National Air Traffic Controllers Association,
,RFI,National Air Traffic Services,
,KUS,National Airlines,
N4,NCN,National Airlines,
9O,,National Airways Cameroon,
,LFI,National Airways,
,GTY,National Aviation,
,TNC,National Aviation Consultants,
,NXT,National Express,
,GRD,National Grid plc,
,JTE,National Jet Express,
,AND,National Jet Service,
NC,NJS,National Jet Systems,
,NAA,National Oceanic and Atmospheric Administration,
,NOL,National Overseas Airlines,
,NLS,Nationale Luchtvaartschool,
,NAE,Nations Air Express,
CE,NTW,Nationwide Airlines,
,NWZ,Nationwide Airlines Zambia,
,EVM,Natural Environment Research Council,
,NRR,Natureair,
,NRK,Naturelink Charter,
ON,RON,Nauru Air,
