0A,GNT,Amber Air,GINTA,Lithuania,,
LA,LAN,LAN Airlines,LAN,Chile,,
LB,LLB,Lloyd Aéreo Boliviano,LLOYDAEREO,Bolivia,,
LC,LOG,Logan Air,LOGAN,United Kingdom,,
LD,AHK,Air Hong Kong,AIR HONG KONG,Hong Kong,,
LF,NDC,FlyNordic,NORDIC,Sweden,,
LG,LGL,Luxair,LUXAIR,Luxembourg,,
LH,DLH,Lufthansa,LUFTHANSA,Germany,,
LI,LIA,Leeward Islands Air Transport,LIAT,Antigua and Barbuda,,
LJ,SLA,Sierra National Airlines,SELAIR,Sierra Leone,,
LK,LXR,Air Luxor,AIRLUXOR,Portugal,,
LM,LVG,Livingston,LIVINGSTON,Italy,,
LN,LAA,Libyan Arab Airlines,LIBAIR,Libya,,
LO,LOT,LOT Polish Airlines,POLLOT,Poland,,
LP,LPE,LAN Peru,LANPERU,Peru,,
LQ,LAQ,Lebanese Air Transport,LAT,Lebanon,,
LR,LRC,LACSA,LACSA,Costa Rica,,
LS,EXS,Jet2.com,CHANNEX,United Kingdom,,
LT,LTU,LTU International,LTU,Germany,,
LU,LXP,LAN Express,LANEX,Chile,,
LV,LBC,Albanian Airlines,ALBANIAN,Albania,,
LW,NMI,Pacific Wings,TSUNAMI,United States,,
LX,SWR,Swiss International Air Lines,SWISS,Switzerland,,
LY,ELY,El Al Israel Airlines,ELAL,Israel,,
M2,MZS,Mahfooz Aviation,MAHFOOZ,Gambia,,
M3,SPJ,Air Service,AIR SKOPJE,Macedonia,,
M4,NOV,Nova Airline,NOVANILE,Sudan,,
M5,KEN,Kenmore Air,KENMORE,United States,,
M6,AJT,Amerijet International,AMERIJET,United States,,
M7,MAA,MasAir,MAS CARGA,Mexico,,
M9,MSI,Motor Sich,MOTOR SICH,Ukraine,,
MA,MAH,Malév Hungarian Airlines,MALEV,Hungary,,
MB,EXA,Execair Aviation,CANADIAN EXECAIRE,Canada,,
MC,RCH,Air Mobility Command,REACH,United States,,
MD,MDG,Air Madagascar,AIR MADAGASCAR,Madagascar,,
ME,MEA,Middle East Airlines,CEDAR JET,Lebanon,,
MF,CXA,Xiamen Airlines,XIAMEN AIR,China,,
MG,CCP,Champion Air,CHAMPION AIR,United States,,
MH,MAS,Malaysia Airlines,MALAYSIAN,Malaysia,,
MI,SLK,SilkAir,SILKAIR,Singapore,,
MK,MAU,Air Mauritius,AIRMAURITIUS,Mauritius,,
ML,ETC,African Transport Trading and Investment Company,TRANATTICO,Sudan,,
MM,SAM,SAM Colombia,SAM,Colombia,,
MN,CAW,Comair,COMMERCIAL,South Africa,,
MO,CAV,Calm Air,CALM AIR,Canada,,
MP,MPH,Martinair,MARTINAIR,Netherlands,,
MQ,EGF,American Eagle Airlines,EAGLE FLIGHT,United States,,
MR,MRT,Air Mauritanie,MIKE ROMEO,Mauritania,,
MS,MSR,Egyptair,EGYPTAIR,Egypt,,
MT,TCX,Thomas Cook Airlines,KESTREL,United Kingdom,,
MU,CES,China Eastern Airlines,CHINA EASTERN,China,,
MW,MYD,Maya Island Air,MYLAND,Belize,,
MX,MXA,Mexicana de Aviación,MEXICANA,Mexico,,
MY,MWA,Midwest Airlines (Egypt),,Egypt,,
MZ,MNA,Merpati Nusantara Airlines,MERPATI,Indonesia,,
N2,DAG,Dagestan Airlines,DAGAL,Russia,,
N3,OMS,Omskavia Airline,OMSK,Russia,,
N4,NCN,National Airlines,,Chile,,
N5,SGY,Skagway Air Service,SKAGWAY AIR,United States,,
N6,JEV,Lagun Air,,Spain,,
N8,HGK,Fika Salaama Airlines,SALAAMA,Uganda,,
NB,SNB,Sterling Airlines,STERLING,Denmark,,
NC,NAC,Northern Air Cargo,YUKON,United States,,
NF,AVN,Air Vanuatu,AIR VAN,Vanuatu,,
NG,LDA,Lauda Air,LAUDA AIR,Austria,,
NH,ANA,All Nippon Airways,ALL NIPPON,Japan,,
NI,PGA,Portugalia,PORTUGALIA,Portugal,,
NK,NKS,Spirit Airlines,SPIRIT WINGS,United States,,
NL,SAI,Shaheen Air International,SHAHEEN AIR,Pakistan,,
NM,NZM,Mount Cook Airlines,MOUNTCOOK,New Zealand,,
NN,MOV,VIM Airlines,MOV AIR,Russia,,
NO,AUS,Aus-Air,,Australia,,
NQ,AJX,Air Japan,AIR JAPAN,Japan,,
NR,PIR,Pamir Airways,PAMIR,Afghanistan,,
NT,IBB,Binter Canarias,BINTER,Spain,,
NU,JTA,Japan Transocean Air,JAI OCEAN,Japan,,
NV,CRF,Air Central,AIR CENTRAL,Japan,,
NX,AMU,Air Macau,AIR MACAO,Macao,,
NY,FXI,Air Iceland,FAXI,Iceland,,
NZ,ANZ,Air New Zealand,NEW ZEALAND,New Zealand,,
O4,ABV,Antrak Air,ANTRAK,Ghana,,
O6,ONE,Oceanair,OCEANAIR,Brazil,,
O7,OZJ,Ozjet Airlines,AUSJET,Australia,,
OA,NOA,Olympic Air,OLYMPIC,Greece,,
OB,ASZ,Astrakhan Airlines,AIR ASTRAKHAN,Russia,,
OE,AOT,Asia Overnight Express,ASIA OVERNIGHT,Philippines,,
OF,FIF,Air Finland,AIR FINLAND,Finland,,
OH,COM,Comair,COMAIR,United States,,
OJ,OLA,Overland Airways,OVERLAND,Nigeria,,
OK,CSA,Czech Airlines,CSA-LINES,Czech Republic,,
OL,OLT,Ostfriesische Lufttransport,OLTRA,Germany,,
OM,MGL,MIAT Mongolian Airlines,MONGOL AIR,Mongolia,,
ON,RON,Nauru Air Corporation,AIR NAURU,Nauru,,
OO,SKW,SkyWest Airlines,SKYWEST,United States,,
OP,CHK,Chalk's International Airlines,CHALKS,United States,,
OR,TFL,Arkefly,ARKEFLY,Netherlands,,
OS,AUA,Austrian Airlines,AUSTRIAN,Austria,,
OT,PEL,Aeropelican Air Services,PELICAN,Australia,,
OU,CTN,Croatia Airlines,CROATIA,Croatia,,
OV,ELL,Estonian Air,ESTONIAN,Estonia,,
OW,EXK,Executive Airlines,EXECUTIVE EAGLE,United States,,
OX,OEA,Orient Thai Airlines,ORIENT THAI,Thailand,,
OY,OAE,Omni Air International,OMNI-EXPRESS,United States,,
OZ,AAR,Asiana Airlines,ASIANA,Republic of Korea,,
P5,RPB,AeroRepública,AEROREPUBLICA,Colombia,,
P7,ESL,Russian Sky Airlines,RADUGA,Russia,,
P8,PTN,Pantanal Linhas Aéreas,PANTANAL,Brazil,,
P9,PVN,Peruvian Airlines,,Peru,,
PA,PAA,Pan American World Airways,CLIPPER,United States,,
PC,FAJ,Air Fiji,FIJIAIR,Fiji,,
PD,POE,Porter Airlines,PORTER AIR,Canada,,
PE,AEL,Air Europe,AIR EUROPE,Italy,,
PF,PNW,Palestinian Airlines,PALESTINIAN,Egypt,,
PG,BKP,Bangkok Airways,BANGKOK AIR,Thailand,,
PH,PAO,Polynesian Airlines,POLYNESIAN,Samoa,,
PI,SUF,Sun Air (Fiji),SUNFLOWER,Fiji,,
PJ,SPM,Air Saint Pierre,SAINT-PIERRE,France,,
PK,PIA,Pakistan International Airlines,PAKISTAN,Pakistan,,
PL,ASE,Airstars,MOROZOV,Russia,,
PM,TOS,Tropic Air,TROPISER,Belize,,
PO,PAC,Polar Air Cargo,POLAR,United States,,
PR,PAL,Philippine Airlines,PHILIPPINE,Philippines,,
PS,AUI,Ukraine International Airlines,UKRAINE INTERNATIONAL,Ukraine,,
PT,SWN,West Air Sweden,AIR SWEDEN,Sweden,,
PU,PUA,PLUNA,PLUNA,Uruguay,,
PV,PNR,PAN Air,SKYJET,Spain,,
PW,PRF,Precision Air,PRECISION AIR,Tanzania,,
PX,ANG,Air Niugini,NUIGINI,Papua New Guinea,,
PY,SLM,Surinam Airways,SURINAM,Suriname,,
PZ,LAP,TAM Mercosur,PARAGUAYA,Paraguay,,
Q3,MBN,Zambian Airways,ZAMBIANA,Zambia,,
Q4,TLK,Starlink Aviation,STARLINK,Canada,,
Q5,MLA,40-Mile Air,MILE-AIR,United States,,
Q6,CDP,Aero Condor Peru,CONDOR-PERU,Peru,,
Q8,PEC,Pacific East Asia Cargo Airlines,PAC-EAST CARGO,Philippines,,
Q9,AFU,Afrinat International Airlines,AFRINAT,Gambia,,
QB,GFG,Georgian National Airlines,NATIONAL,Georgia,,
QC,CRD,Air Corridor,AIR CORRIDOR,Mozambique,,
QD,QCL,Air Class Líneas Aéreas,ACLA,Uruguay,,
QE,ECC,Crossair Europe,Cigogne,Switzerland,,
QF,QFA,Qantas,QANTAS,Australia,,
QH,FLZ,Aero Leasing,AIR FLORIDA,United States,,
QI,CIM,Cimber Sterling,CIMBER,Denmark,,
QK,JZA,Air Canada Jazz,JAZZ,Canada,,
QL,RLN,Aero Lanka,AERO LANKA,Sri Lanka,,
QM,AML,Air Malawi,MALAWI,Malawi,,
QN,ARR,Air Armenia,AIR ARMENIA,Armenia,,
QO,MPX,Aeromexpress,AEROMEXPRESS,Mexico,,
QQ,UTY,Alliance Airlines,UNITY,Australia,,
QR,QTR,Qatar Airways,QATARI,Qatar,,
QS,TVS,Travel Service,SKYTRAVEL,Czech Republic,,
QT,TPA,TAMPA,TAMPA,Colombia,,
QU,UTN,UTair-Ukraine,UT Ukraine,Ukraine,,
QV,LAO,Lao Airlines,LAO,Lao Peoples Democratic Republic,,
QX,QXE,Horizon Air,HORIZON AIR,United States,,
QY,BCS,European Air Transport,EUROTRANS,Belgium,,
QZ,AWQ,Indonesia AirAsia,WAGON AIR,Indonesia,,
R0,RPK,Royal Airlines,ROYAL PAKISTAN,Pakistan,,
R2,ORB,Orenburg Airlines,ORENBURG,Russia,,
R3,SYL,Aircompany Yakutia,AIR YAKUTIA,Russia,,
R5,MAC,Malta Air Charter,MALTA CHARTER,Malta,,
R7,OCA,Aserca Airlines,AROSCA,Venezuela,,
R8,KGA,Kyrgyzstan Airlines,KYRGYZ,Kyrgyzstan,,
R9,CAM,Camai Air,AIR CAMAI,United States,,
RA,RNA,Nepal Airlines,ROYAL NEPAL,Nepal,,
RB,SYR,Syrian Arab Airlines,SYRIANAIR,Syrian Arab Republic,,
RC,FLI,Atlantic Airways,FAROELINE,Faroe Islands,,
RD,RYN,Ryan International Airlines,RYAN INTERNATIONAL,United States,,
RE,REA,Aer Arann,AER ARANN,Ireland,,
RF,FWL,Florida West International Airways,FLO WEST,United States,,
RG,VRN,VRG Linhas Aéreas,VARIG,Brazil,,
RH,RPH,Republic Express Airlines,PUBLIC EXPRESS,Indonesia,,
RI,MDL,Mandala Airlines,MANDALA,Indonesia,,
RJ,RJA,Royal Jordanian,JORDANIAN,Jordan,,
RK,RKH,Royal Khmer Airlines,KHMER AIR,Cambodia,,
RL,PPW,Royal Phnom Penh Airways,PHNOM-PENH AIR,Cambodia,,
RO,ROT,Tarom,TAROM,Romania,,
RP,CHQ,Chautauqua Airlines,CHAUTAUQUA,United States,,
RQ,KMF,Kam Air,KAMGAR,Afghanistan,,
RR,RFR,Royal Air Force,RAFAIR,United Kingdom,,
RS,ICT,Intercontinental de Aviación,CONTAVIA,Colombia,,
RS,SKV,Sky Regional Airlines,MAPLE,Canada,,
RU,SKI,SkyKing Turks and Caicos Airways,SKYKING,Turks and Caicos Islands,,
RV,CPN,Caspian Airlines,CASPIAN,Iran,,
RW,RPA,Republic Airlines,BRICKYARD,United States,,
S0,OKS,Slok Air Gambia,SLOK GAMBIA,Gambia,,
S2,RSH,Air Sahara,SAHARA,India,,
S3,BBR,Santa Barbara Airlines,SANTA BARBARA,Venezuela,,
S4,RZO,SATA International,AIR AZORES,Portugal,,
S5,TCF,Shuttle America,MERCURY,United States,,
S7,SBI,S7 Airlines,SIBERIAN AIRLINES,Russia,,
S8,SWW,Shovkoviy Shlyah,WAY AERO,Ukraine,,
S9,HSA,East African Safari Air,DUMA,Kenya,,
SA,SAA,South African Airways,SPRINGBOK,South Africa,,
SB,ACI,Air Caledonie International,AIRCALIN,France,,
SC,CDG,Shandong Airlines,SHANDONG,China,,
SD,SUD,Sudan Airways,SUDANAIR,Sudan,,
SE,SEU,XL Airways France,STARWAY,France,,
SF,DTH,Tassili Airlines,TASSILI AIR,Algeria,,
SG,SEJ,Spicejet,SPICEJET,India,,
SH,FLY,Fly Me Sweden,FLYBIRD,Sweden,,
SI,SIH,Skynet Airlines,BLUEJET,Ireland,,
SJ,FOM,Freedom Air,FREE AIR,New Zealand,,
SK,SAS,Scandinavian Airlines,SCANDINAVIAN,"Sweden, Denmark and Norway",,
SM,SRL,Swedline Express,Starline,Sweden,,
SN,BEL,Brussels Airlines,BEE-LINE,Belgium,,
SO,HKA,Superior Aviation,SPEND AIR,United States,,
SP,SAT,SATA Air Acores,SATA,Portugal,,
SQ,SIA,Singapore Airlines,SINGAPORE,Singapore,,
SS,CRL,Corsairfly,CORSAIR,France,,
ST,GMI,Germania,GERMANIA,Germany,,
SU,AFL,Aeroflot Russian Airlines,AEROFLOT,Russia,,
SV,SVA,Saudi Arabian Airlines,SAUDIA,Saudi Arabia,,
SW,NMB,Air Namibia,NAMIBIA,Namibia,,
SY,SCX,Sun Country Airlines,SUN COUNTRY,United States,,
SZ,WOW,Air Southwest,SWALLOW,United Kingdom,,
T2,TCG,Thai Air Cargo,THAI CARGO,Thailand,,
T3,EZE,Eastern Airways,EASTFLIGHT,United Kingdom,,
T4,HEJ,Hellas Jet,HELLAS JET,Greece,,
T6,TVR,Tavrey Airlines,TAVREY,Ukraine,,
T7,TJT,Twin Jet,TWINJET,France,,
T9,TSX,Thai Star Airlines,THAI STAR,Thailand,,
TC,ATC,Air Tanzania,TANZANIA,Tanzania,,
TD,TLP,Tulip Air,TULIPAIR,Netherland,,
TE,IGA,Skytaxi,IGUANA,Poland,,
TF,SCW,Malmö Aviation,SCANWING,Sweden,,
TG,THA,Thai Airways International,THAI,Thailand,,
TH,TSE,Transmile Air Services,TRANSMILE,Malaysia,,
TI,TOL,Tol-Air Services,TOL AIR,United States,,
TK,THY,Turkish Airlines,TURKISH,Turkey,,
TL,ANO,Airnorth,TOPEND,Australia,,
TM,LAM,Linhas Aéreas de Moçambique,MOZAMBIQUE,Mozambique,,
TN,THT,Air Tahiti Nui,TAHITI AIRLINES,France,,
TO,PSD,President Airlines,,Cambodia,,
TP,TAP,TAP Portugal,AIR PORTUGAL,Portugal,,
TQ,TDM,Tandem Aero,TANDEM,Moldova,,
TR,TGW,Tiger Airways,GO CAT,Singapore,,
TS,TSC,Air Transat,AIR TRANSAT,Canada,,
TT,TGW,Tiger Airways Australia,GO CAT,Australia,,
TU,TAR,Tunisair,TUNAIR,Tunisia,,
TV,VEX,Virgin Express,VIRGIN EXPRESS,Belgium,,
TX,FWI,Air Caraïbes,FRENCH WEST,France,,
TY,TPC,Air Calédonie,AIRCAL,France,,
TZ,AMT,ATA Airlines,AMTRAN,United States,,
U2,EZY,easyJet,EASY,United Kingdom,,
U3,AIA,Avies,AVIES,Estonia,,
U4,PMT,PMTair,MULTITRADE,Cambodia,,
U5,GWY,USA3000 Airlines,GETAWAY,United States,,
U6,SVR,Ural Airlines,SVERDLOVSK AIR,Russia,,
U7,JUS,USA Jet Airlines,JET USA,United States,,
U8,RNV,Armavia,ARMAVIA,Armenia,,
UA,UAL,United Airlines,UNITED,United States,,
UB,UBA,Myanma Airways,UNIONAIR,Myanmar,,
UD,HER,Hex'Air,HEX AIRLINE,France,,
UE,TEP,Transeuropean Airlines,TRANSEURLINE,Russia,,
UF,UKM,UM Airlines,UKRAINE MEDITERRANEE,Ukraine,,
UG,SEN,SevenAir,S-BAR,United States,,
UH,USH,US Helicopter,US-HELI,United States,,
UI,ECA,Eurocypria Airlines,EUROCYPRIA,Cyprus,,
UL,ALK,SriLankan Airlines,SRILANKAN,Sri Lanka,,
UM,AZW,Air Zimbabwe,AIR ZIMBABWE,Zimbabwe,,
UN,TSO,Transaero Airlines,TRANSOVIET,Russia,,
UO,HKE,Hong Kong Express Airways,HONGKONG SHUTTLE,Hong Kong SAR of China,,
UP,BHS,Bahamasair,BAHAMAS,Bahamas,,
US,USA,USAir,,United States,,
UT,UTA,UTair Aviation,UTAIR,Russia,,
UU,REU,Air Austral,REUNION,France,,
UX,AEA,Air Europa,EUROPA,Spain,,
UZ,BRQ,El-Buraq Air Transport,BURAQAIR,Libya,,
V0,VCV,Conviasa,CONVIASA,Venezuela,,
V2,RBY,Vision Airlines,RUBY,United States,,
V3,KRP,Carpatair,CARPATAIR,Romania,,
V4,REK,Reem Air,REEM AIR,Kyrgyzstan,,
V5,VLI,Avolar Aerolíneas,AEROVOLAR,Mexico,,
V7,VOE,Volotea,,,,
V8,VAS,ATRAN Cargo Airlines,ATRAN,Russian Federation,,
V9,BTC,BAL Bashkirian Airlines,BASHKIRIAN,Russia,,
VA,VAU,V Australia Airlines,VEE-OZ,Australia,,
VB,VIV,Aeroenlaces Nacionales,AEROENLACES,Mexico,,
VC,VAL,Voyageur Airways,VOYAGEUR,Canada,,
VD,KPA,Kunpeng Airlines,KUNPENG,China,,
VE,VLE,Volare Airlines,VOLA,Italy,,
VF,VLU,Valuair,VALUAIR,Singapore,,
VG,VLM,VLM Airlines,RUBENS,Belgium,,
VH,ALV,Aeropostal Alas de Venezuela,AEROPOSTAL,Venezuela,,
VI,VDA,Volga-Dnepr Airlines,VOLGA-DNEPR,Russia,,
VJ,AFF,Africa Airways,AFRIWAYS,Benin,,
VK,VGN,Virgin Nigeria Airways,VIRGIN NIGERIA,Nigeria,,
VL,VIM,Air VIA,,Bulgaria,,
VM,VOA,Viaggio Air,VIAGGIO,Bulgaria,,
VN,HVN,Vietnam Airlines,VIET NAM AIRLINES,Vietnam,,
VO,TYR,Austrian Arrows,TYROLEAN,Austria,,
VP,VSP,VASP,VASP,Brazil,,
VR,TCV,TACV,CABOVERDE,Cape Verde,,
VS,VIR,Virgin Atlantic Airways,VIRGIN,United Kingdom,,
VT,VTA,Air Tahiti,AIR TAHITI,French Polynesia,,
VU,VUN,Air Ivoire,AIRIVOIRE,Ivory Coast,,
VV,AEW,Aerosvit Airlines,AEROSVIT,Ukraine,,
VW,TAO,Aeromar,TRANS-AEROMAR,Mexico,,
VX,VRD,Virgin America,REDWOOD,United States,,
VY,VLG,Vueling Airlines,VUELING,Spain,,
W1,WDL,WDL Aviation,WDL,Germany,,
W2,CWA,Canadian Western Airlines,CANADIAN WESTERN,Canada,,
W3,FYH,Flyhy Cargo Airlines,FLY HIGH,Thailand,,
W4,BES,Aero Services Executive,BIRD EXPRESS,France,,
W5,IRM,Mahan Air,MAHAN AIR,Iran,,
W6,WVL,Wizz Air,WIZZBUL,Bulgaria,,
W8,CJT,Cargojet Airways,CARGOJET,Canada,,
W9,JAB,Air Bagan,AIR BAGAN,Myanmar,,
WA,KLC,KLM Cityhopper,CITY,Netherlands,,
WB,RWD,Rwandair Express,RWANDAIR,Rwanda,,
WC,ISV,Islena De Inversiones,,Honduras,,
WD,AAN,Amsterdam Airlines,AMSTEL,Netherlands,,
WE,CWC,Centurion Air Cargo,CHALLENGE CARGO,United States,,
WF,WIF,Widerøe,WIDEROE,Norway,,
WG,SWG,Sunwing Airlines,SUNWING,Canada,,
WH,WEB,WebJet Linhas Aéreas,WEB-BRASIL,Brazil,,
WK,EDW,Edelweiss Air,EDELWEISS,Switzerland,,
WN,SWA,Southwest Airlines,SOUTHWEST,United States,,
WO,WOA,World Airways,WORLD,United States,,
WR,HRH,Royal Tongan Airlines,TONGA ROYAL,Tonga,,
WS,WJA,WestJet,WESTJET,Canada,,
WT,WSG,Wasaya Airways,WASAYA,Canada,,
WV,SWV,Swe Fly,FLYING SWEDE,Sweden,,
WW,BMI,Bmibaby,BABY,United Kingdom,,
WX,BCY,CityJet,CITY-IRELAND,Ireland,,
WY,OMA,Oman Air,OMAN AIR,Oman,,
WZ,WSF,West African Airlines,,Benin,,
X3,HLX,Hapag-Lloyd Express (TUIfly),YELLOW CAB,Germany,,
X7,CHF,Chitaavia,CHITA,Russia,,
XE,BTA,ExpressJet,JET LINK,United States,,
XF,VLK,Vladivostok Air,VLADAIR,Russia,,
XG,CLI,Calima Aviación,CALIMA,Spain,,
XJ,MES,Mesaba Airlines,MESABA,United States,,
XK,CCM,Corse-Mediterranee,CORSICA,France,,
XL,LNE,Aerolane,AEROLANE,Ecuador,,
XO,CXH,China Xinhua Airlines,XINHUA,China,,
XP,CXP,Xtra Airways,CASINO EXPRESS,United States,,
XQ,SXS,SunExpress,SUNEXPRESS,Turkey,,
XS,SIT,SITA,,Belgium,,
XT,SKT,SkyStar Airways,SKY YOU,Thailand,,
Y4,VOI,Volaris,VOLARIS,Mexico,,
Y5,PCE,Pace Airlines,PACE,United States,,
Y6,BTV,Batavia Air,BATAVIA,Indonesia,,
Y8,YZR,Yangtze River Express,YANGTZE RIVER,China,,
Y9,IRK,Kish Air,KISHAIR,Iran,,
YE,ACQ,Aryan Cargo Express,,India,,
YH,WCW,West Caribbean Airways,WEST,Colombia,,
YK,KYV,Cyprus Turkish Airlines,AIRKIBRIS,Turkey,,
YL,LLM,Yamal Airlines,YAMAL,Russia,,
YM,MGX,Montenegro Airlines,MONTENEGRO,Montenegro,,
YS,RAE,Régional Compagnie Aérienne Européenne,REGIONAL EUROPE,France,,
YV,ASH,Mesa Airlines,AIR SHUTTLE,United States,,
YW,ANE,Air Nostrum,AIR NOSTRUM,Spain,,
YX,MEP,Midwest Airlines,MIDEX,United States,,
Z3,SMJ,Avient Aviation,AVAVIA,Zimbabwe,,
Z5,GMG,GMG Airlines,GMG,Bangladesh,,
Z8,AZN,Amaszonas,,Bolivia,,
ZA,SUW,Interavia Airlines,ASTAIR,Russia,,
ZB,MON,Monarch Airlines,MONARCH,United Kingdom,,
ZE,AZE,Arcus-Air Logistic,ARCUS AIR,Germany,,
ZG,VVM,Viva Macau,JACKPOT,Macao,,
ZH,CSZ,Shenzhen Airlines,SHENZHEN AIR,China,,
ZI,AAF,Aigle Azur,AIGLE AZUR,France,,
ZK,GLA,Great Lakes Airlines,LAKES AIR,United States,,
ZL,RXA,Regional Express,REX,Australia,,
ZP,AZQ,Silk Way Airlines,SILK LINE,Azerbaijan,,
ZS,SMY,Sama Airlines,NAJIM,Saudi Arabia,,
ZT,AWC,Titan Airways,ZAP,United Kingdom,,
ZU,HCY,Helios Airways,HELIOS,Cyprus,,
ZV,AMW,Air Midwest,AIR MIDWEST,United States,,
ZW,AWI,Air Wisconsin,AIR WISCONSIN,United States,,
ZX,GGN,Air Georgian,GEORGIAN,Canada,,
